55;3427;datetime.datetime(2020, 10, 20, 21, 20, 19);datetime.timedelta(days=20, seconds=78775, microseconds=151483);None;datetime.timedelta(days=20, seconds=78775, microseconds=151494);'open'
56;3426;datetime.datetime(2020, 10, 20, 18, 1, 48);datetime.timedelta(seconds=1842);datetime.timedelta(seconds=5080);datetime.timedelta(seconds=6922);'closed'
57;3425;datetime.datetime(2020, 10, 20, 0, 38, 45);datetime.timedelta(seconds=10992);datetime.timedelta(seconds=207);datetime.timedelta(seconds=11199);'closed'
58;3424;datetime.datetime(2020, 10, 20, 0, 29, 47);datetime.timedelta(seconds=65197);datetime.timedelta(seconds=7309);datetime.timedelta(seconds=72506);'closed'
59;3423;datetime.datetime(2020, 10, 18, 20, 24, 15);datetime.timedelta(seconds=68092);datetime.timedelta(seconds=13921);datetime.timedelta(seconds=82013);'closed'
60;3422;datetime.datetime(2020, 10, 16, 13, 31, 10);datetime.timedelta(seconds=1717);datetime.timedelta(seconds=12979);datetime.timedelta(seconds=14696);'closed'
61;3420;datetime.datetime(2020, 10, 15, 18, 34, 15);datetime.timedelta(seconds=16171);datetime.timedelta(days=4, seconds=3564);datetime.timedelta(days=4, seconds=19735);'closed'
62;3419;datetime.datetime(2020, 10, 15, 17, 50, 52);datetime.timedelta(seconds=3002);datetime.timedelta(days=26, seconds=1953, microseconds=63660);datetime.timedelta(days=26, seconds=4955, microseconds=63668);'open'
63;3418;datetime.datetime(2020, 10, 14, 23, 39, 49);datetime.timedelta(seconds=662);datetime.timedelta(seconds=7368);datetime.timedelta(seconds=8030);'closed'
64;3417;datetime.datetime(2020, 10, 14, 20, 16, 12);datetime.timedelta(seconds=5970);datetime.timedelta(seconds=10329);datetime.timedelta(seconds=16299);'closed'
65;3416;datetime.datetime(2020, 10, 14, 19, 41, 41);datetime.timedelta(seconds=11597);datetime.timedelta(seconds=75051);datetime.timedelta(days=1, seconds=248);'closed'
66;3414;datetime.datetime(2020, 10, 13, 16, 21, 16);datetime.timedelta(days=1, seconds=6632);datetime.timedelta(seconds=5942);datetime.timedelta(days=1, seconds=12574);'closed'
67;3410;datetime.datetime(2020, 10, 12, 19, 52, 22);datetime.timedelta(days=1, seconds=67252);datetime.timedelta(seconds=329);datetime.timedelta(days=1, seconds=67581);'closed'
68;3407;datetime.datetime(2020, 10, 9, 14, 6, 39);datetime.timedelta(days=5, seconds=2257);datetime.timedelta(days=5, seconds=30317);datetime.timedelta(days=10, seconds=32574);'closed'
69;3405;datetime.datetime(2020, 10, 8, 21, 48, 48);datetime.timedelta(seconds=2930);datetime.timedelta(seconds=3643);datetime.timedelta(seconds=6573);'closed'
70;3404;datetime.datetime(2020, 10, 8, 21, 1, 55);datetime.timedelta(seconds=1013);datetime.timedelta(seconds=814);datetime.timedelta(seconds=1827);'closed'
71;3403;datetime.datetime(2020, 10, 8, 20, 8, 44);datetime.timedelta(days=5, seconds=78991);datetime.timedelta(seconds=7070);datetime.timedelta(days=5, seconds=86061);'closed'
72;3401;datetime.datetime(2020, 10, 6, 20, 52, 32);datetime.timedelta(seconds=14313);datetime.timedelta(seconds=8415);datetime.timedelta(seconds=22728);'closed'
73;3400;datetime.datetime(2020, 10, 6, 20, 10, 21);datetime.timedelta(seconds=129);datetime.timedelta(seconds=7511);datetime.timedelta(seconds=7640);'closed'
74;3399;datetime.datetime(2020, 10, 6, 18, 32, 11);datetime.timedelta(seconds=2308);datetime.timedelta(seconds=1165);datetime.timedelta(seconds=3473);'closed'
75;3398;datetime.datetime(2020, 10, 6, 16, 1, 21);datetime.timedelta(seconds=4370);datetime.timedelta(seconds=21);datetime.timedelta(seconds=4391);'closed'
76;3397;datetime.datetime(2020, 10, 6, 16, 0, 2);datetime.timedelta(seconds=14);None;datetime.timedelta(seconds=14);'closed'
77;3396;datetime.datetime(2020, 10, 6, 15, 5, 54);datetime.timedelta(seconds=11860);datetime.timedelta(seconds=3098);datetime.timedelta(seconds=14958);'closed'
78;3395;datetime.datetime(2020, 10, 6, 13, 4, 40);datetime.timedelta(seconds=4666);datetime.timedelta(days=5, seconds=79593);datetime.timedelta(days=5, seconds=84259);'closed'
79;3393;datetime.datetime(2020, 10, 6, 1, 32, 6);datetime.timedelta(seconds=50443);datetime.timedelta(seconds=12344);datetime.timedelta(seconds=62787);'closed'
80;3392;datetime.datetime(2020, 10, 5, 23, 4, 20);datetime.timedelta(seconds=70037);datetime.timedelta(seconds=18935);datetime.timedelta(days=1, seconds=2572);'closed'
81;3389;datetime.datetime(2020, 10, 5, 18, 13, 58);datetime.timedelta(seconds=9360);datetime.timedelta(seconds=8921);datetime.timedelta(seconds=18281);'closed'
82;3387;datetime.datetime(2020, 10, 5, 17, 43, 8);datetime.timedelta(seconds=6904);datetime.timedelta(seconds=3979);datetime.timedelta(seconds=10883);'closed'
83;3386;datetime.datetime(2020, 10, 3, 23, 12, 20);datetime.timedelta(days=16, seconds=86127);datetime.timedelta(days=20, seconds=72372, microseconds=254600);datetime.timedelta(days=37, seconds=72099, microseconds=254609);'open'
84;3385;datetime.datetime(2020, 10, 3, 13, 54, 57);datetime.timedelta(seconds=1780);datetime.timedelta(days=2, seconds=7540);datetime.timedelta(days=2, seconds=9320);'closed'
85;3384;datetime.datetime(2020, 10, 2, 22, 14, 55);datetime.timedelta(seconds=171);datetime.timedelta(seconds=540);datetime.timedelta(seconds=711);'closed'
86;3383;datetime.datetime(2020, 10, 2, 22, 13, 30);datetime.timedelta(seconds=222);datetime.timedelta(seconds=510);datetime.timedelta(seconds=732);'closed'
87;3382;datetime.datetime(2020, 10, 2, 21, 45, 16);datetime.timedelta(seconds=924);datetime.timedelta(seconds=11);datetime.timedelta(seconds=935);'closed'
88;3381;datetime.datetime(2020, 10, 2, 20, 26, 20);datetime.timedelta(seconds=3901);datetime.timedelta(seconds=572);datetime.timedelta(seconds=4473);'closed'
89;3379;datetime.datetime(2020, 10, 1, 21, 48, 35);datetime.timedelta(seconds=952);datetime.timedelta(seconds=19);datetime.timedelta(seconds=971);'closed'
90;3378;datetime.datetime(2020, 10, 1, 16, 3, 18);datetime.timedelta(seconds=2446);datetime.timedelta(seconds=956);datetime.timedelta(seconds=3402);'closed'
91;3377;datetime.datetime(2020, 10, 1, 13, 29, 22);datetime.timedelta(seconds=1115);datetime.timedelta(seconds=1506);datetime.timedelta(seconds=2621);'closed'
92;3376;datetime.datetime(2020, 9, 30, 23, 6, 53);datetime.timedelta(seconds=2681);datetime.timedelta(seconds=50898);datetime.timedelta(seconds=53579);'closed'
93;3375;datetime.datetime(2020, 9, 30, 23, 5, 51);datetime.timedelta(seconds=353);datetime.timedelta(seconds=292);datetime.timedelta(seconds=645);'closed'
94;3374;datetime.datetime(2020, 9, 30, 21, 52, 28);datetime.timedelta(days=40, seconds=76908, microseconds=39724);None;datetime.timedelta(days=40, seconds=76908, microseconds=39737);'open'
95;3373;datetime.datetime(2020, 9, 30, 21, 10, 20);datetime.timedelta(seconds=3963);datetime.timedelta(seconds=23);datetime.timedelta(seconds=3986);'closed'
96;3372;datetime.datetime(2020, 9, 30, 21, 0, 44);datetime.timedelta(days=20, seconds=10135);datetime.timedelta(seconds=16905);datetime.timedelta(days=20, seconds=27040);'closed'
97;3371;datetime.datetime(2020, 9, 30, 20, 56, 18);datetime.timedelta(days=1, seconds=4901);datetime.timedelta(days=17, seconds=85351);datetime.timedelta(days=19, seconds=3852);'closed'
98;3370;datetime.datetime(2020, 9, 30, 19, 54, 23);datetime.timedelta(seconds=1121);datetime.timedelta(seconds=2205);datetime.timedelta(seconds=3326);'closed'
99;3369;datetime.datetime(2020, 9, 30, 16, 40, 40);datetime.timedelta(seconds=3660);datetime.timedelta(seconds=5309);datetime.timedelta(seconds=8969);'closed'
100;3367;datetime.datetime(2020, 9, 29, 18, 11, 2);datetime.timedelta(seconds=4136);datetime.timedelta(seconds=913);datetime.timedelta(seconds=5049);'closed'
101;3366;datetime.datetime(2020, 9, 29, 16, 34, 37);datetime.timedelta(seconds=5511);datetime.timedelta(seconds=71653);datetime.timedelta(seconds=77164);'closed'
102;3365;datetime.datetime(2020, 9, 29, 15, 59, 24);datetime.timedelta(seconds=82621);datetime.timedelta(seconds=18295);datetime.timedelta(days=1, seconds=14516);'closed'
103;3364;datetime.datetime(2020, 9, 29, 15, 4, 1);datetime.timedelta(seconds=1123);datetime.timedelta(seconds=20);datetime.timedelta(seconds=1143);'closed'
104;3363;datetime.datetime(2020, 9, 29, 0, 15, 59);datetime.timedelta(seconds=2739);datetime.timedelta(seconds=39477);datetime.timedelta(seconds=42216);'closed'
105;3362;datetime.datetime(2020, 9, 28, 21, 39, 10);datetime.timedelta(seconds=1479);datetime.timedelta(seconds=56087);datetime.timedelta(seconds=57566);'closed'
106;3361;datetime.datetime(2020, 9, 26, 0, 15, 28);datetime.timedelta(days=2, seconds=6802);datetime.timedelta(seconds=67831);datetime.timedelta(days=2, seconds=74633);'closed'
107;3360;datetime.datetime(2020, 9, 24, 22, 42, 16);datetime.timedelta(seconds=55144);datetime.timedelta(days=5, seconds=17751);datetime.timedelta(days=5, seconds=72895);'closed'
108;3358;datetime.datetime(2020, 9, 24, 20, 32, 28);datetime.timedelta(seconds=593);datetime.timedelta(seconds=1139);datetime.timedelta(seconds=1732);'closed'
109;3357;datetime.datetime(2020, 9, 24, 14, 12, 8);datetime.timedelta(seconds=4315);datetime.timedelta(seconds=23174);datetime.timedelta(seconds=27489);'closed'
110;3355;datetime.datetime(2020, 9, 23, 19, 51, 54);datetime.timedelta(days=5, seconds=15278);datetime.timedelta(seconds=66511);datetime.timedelta(days=5, seconds=81789);'closed'
111;3352;datetime.datetime(2020, 9, 22, 15, 12, 10);datetime.timedelta(seconds=214);datetime.timedelta(seconds=6740);datetime.timedelta(seconds=6954);'closed'
112;3351;datetime.datetime(2020, 9, 22, 4, 5, 21);datetime.timedelta(days=35, seconds=19558);None;datetime.timedelta(days=35, seconds=19558);'closed'
113;3350;datetime.datetime(2020, 9, 22, 2, 48, 15);datetime.timedelta(seconds=97);None;datetime.timedelta(seconds=97);'closed'
114;3348;datetime.datetime(2020, 9, 21, 19, 1, 47);datetime.timedelta(seconds=342);datetime.timedelta(seconds=6178);datetime.timedelta(seconds=6520);'closed'
115;3344;datetime.datetime(2020, 9, 20, 20, 41, 21);datetime.timedelta(seconds=33478);datetime.timedelta(days=4, seconds=22359);datetime.timedelta(days=4, seconds=55837);'closed'
116;3343;datetime.datetime(2020, 9, 19, 13, 39, 3);datetime.timedelta(days=2, seconds=2489);datetime.timedelta(seconds=6211);datetime.timedelta(days=2, seconds=8700);'closed'
117;3339;datetime.datetime(2020, 9, 18, 18, 38, 11);datetime.timedelta(seconds=5827);datetime.timedelta(days=2, seconds=73256);datetime.timedelta(days=2, seconds=79083);'closed'
118;3338;datetime.datetime(2020, 9, 18, 14, 54, 53);datetime.timedelta(seconds=7597);datetime.timedelta(seconds=12629);datetime.timedelta(seconds=20226);'closed'
119;3337;datetime.datetime(2020, 9, 17, 22, 0, 47);datetime.timedelta(seconds=1569);datetime.timedelta(seconds=57629);datetime.timedelta(seconds=59198);'closed'
120;3336;datetime.datetime(2020, 9, 17, 21, 38, 35);datetime.timedelta(seconds=364);datetime.timedelta(seconds=2321);datetime.timedelta(seconds=2685);'closed'
121;3335;datetime.datetime(2020, 9, 17, 18, 23, 16);datetime.timedelta(seconds=3147);datetime.timedelta(seconds=259);datetime.timedelta(seconds=3406);'closed'
122;3334;datetime.datetime(2020, 9, 17, 16, 56);datetime.timedelta(days=4, seconds=80737);datetime.timedelta(seconds=76774);datetime.timedelta(days=5, seconds=71111);'closed'
123;3333;datetime.datetime(2020, 9, 17, 12, 38, 3);datetime.timedelta(seconds=24463);datetime.timedelta(seconds=17520);datetime.timedelta(seconds=41983);'closed'
124;3332;datetime.datetime(2020, 9, 16, 21, 34, 6);datetime.timedelta(seconds=3716);datetime.timedelta(seconds=151);datetime.timedelta(seconds=3867);'closed'
125;3331;datetime.datetime(2020, 9, 16, 19, 14, 15);datetime.timedelta(seconds=2560);datetime.timedelta(seconds=564);datetime.timedelta(seconds=3124);'closed'
126;3330;datetime.datetime(2020, 9, 16, 18, 55, 17);datetime.timedelta(seconds=614);datetime.timedelta(seconds=850);datetime.timedelta(seconds=1464);'closed'
127;3328;datetime.datetime(2020, 9, 16, 17, 13, 33);datetime.timedelta(seconds=258);datetime.timedelta(seconds=1074);datetime.timedelta(seconds=1332);'closed'
128;3326;datetime.datetime(2020, 9, 16, 2, 21, 3);datetime.timedelta(seconds=47283);datetime.timedelta(seconds=33729);datetime.timedelta(seconds=81012);'closed'
129;3325;datetime.datetime(2020, 9, 15, 22, 22, 16);datetime.timedelta(seconds=62635);datetime.timedelta(days=7, seconds=9612);datetime.timedelta(days=7, seconds=72247);'closed'
130;3322;datetime.datetime(2020, 9, 15, 17, 57, 4);datetime.timedelta(seconds=6169);datetime.timedelta(seconds=68986);datetime.timedelta(seconds=75155);'closed'
131;3321;datetime.datetime(2020, 9, 15, 17, 17, 42);datetime.timedelta(seconds=146);datetime.timedelta(seconds=14469);datetime.timedelta(seconds=14615);'closed'
132;3320;datetime.datetime(2020, 9, 14, 22, 30, 1);datetime.timedelta(seconds=2129);datetime.timedelta(seconds=11309);datetime.timedelta(seconds=13438);'closed'
133;3319;datetime.datetime(2020, 9, 14, 21, 58, 46);datetime.timedelta(seconds=181);datetime.timedelta(seconds=1545);datetime.timedelta(seconds=1726);'closed'
134;3317;datetime.datetime(2020, 9, 12, 1, 39, 32);datetime.timedelta(seconds=1649);datetime.timedelta(days=4, seconds=66336);datetime.timedelta(days=4, seconds=67985);'closed'
135;3314;datetime.datetime(2020, 9, 11, 15, 1, 27);datetime.timedelta(seconds=7780);datetime.timedelta(seconds=17930);datetime.timedelta(seconds=25710);'closed'
136;3313;datetime.datetime(2020, 9, 11, 13, 36, 18);datetime.timedelta(seconds=5914);datetime.timedelta(days=54, seconds=29918);datetime.timedelta(days=54, seconds=35832);'closed'
137;3312;datetime.datetime(2020, 9, 11, 1, 59, 24);datetime.timedelta(seconds=1013);datetime.timedelta(seconds=22);datetime.timedelta(seconds=1035);'closed'
138;3311;datetime.datetime(2020, 9, 11, 1, 49, 3);datetime.timedelta(seconds=9214);datetime.timedelta(seconds=40711);datetime.timedelta(seconds=49925);'closed'
139;3309;datetime.datetime(2020, 9, 11, 0, 56, 44);datetime.timedelta(days=1, seconds=52052);datetime.timedelta(seconds=67450);datetime.timedelta(days=2, seconds=33102);'closed'
140;3307;datetime.datetime(2020, 9, 10, 19, 57, 17);datetime.timedelta(seconds=1266);datetime.timedelta(seconds=2243);datetime.timedelta(seconds=3509);'closed'
141;3306;datetime.datetime(2020, 9, 10, 1, 28, 35);datetime.timedelta(seconds=2347);datetime.timedelta(seconds=53541);datetime.timedelta(seconds=55888);'closed'
142;3304;datetime.datetime(2020, 9, 9, 22, 44, 24);datetime.timedelta(seconds=1605);datetime.timedelta(seconds=1724);datetime.timedelta(seconds=3329);'closed'
143;3303;datetime.datetime(2020, 9, 9, 21, 14, 17);datetime.timedelta(seconds=60167);datetime.timedelta(seconds=9474);datetime.timedelta(seconds=69641);'closed'
144;3301;datetime.datetime(2020, 9, 7, 14, 4, 4);datetime.timedelta(seconds=9072);datetime.timedelta(seconds=75585);datetime.timedelta(seconds=84657);'closed'
145;3300;datetime.datetime(2020, 9, 7, 13, 34, 32);datetime.timedelta(seconds=83507);datetime.timedelta(seconds=40454);datetime.timedelta(days=1, seconds=37561);'closed'
146;3299;datetime.datetime(2020, 9, 3, 23, 53, 28);datetime.timedelta(days=5, seconds=72522);datetime.timedelta(days=5, seconds=84714);datetime.timedelta(days=11, seconds=70836);'closed'
147;3298;datetime.datetime(2020, 9, 3, 22, 54, 13);datetime.timedelta(days=6, seconds=85292);datetime.timedelta(days=1, seconds=58001);datetime.timedelta(days=8, seconds=56893);'closed'
148;3296;datetime.datetime(2020, 9, 3, 21, 5, 34);datetime.timedelta(seconds=3295);datetime.timedelta(days=1, seconds=1290);datetime.timedelta(days=1, seconds=4585);'closed'
149;3294;datetime.datetime(2020, 9, 2, 23, 34, 59);datetime.timedelta(seconds=49627);datetime.timedelta(seconds=15053);datetime.timedelta(seconds=64680);'closed'
150;3291;datetime.datetime(2020, 9, 2, 19, 6, 7);datetime.timedelta(days=7, seconds=13706);datetime.timedelta(days=1, seconds=74779);datetime.timedelta(days=9, seconds=2085);'closed'
151;3287;datetime.datetime(2020, 9, 2, 2, 16, 20);datetime.timedelta(seconds=4873);datetime.timedelta(days=1, seconds=58382);datetime.timedelta(days=1, seconds=63255);'closed'
152;3284;datetime.datetime(2020, 8, 31, 16, 51, 31);datetime.timedelta(seconds=1247);datetime.timedelta(seconds=57);datetime.timedelta(seconds=1304);'closed'
153;3283;datetime.datetime(2020, 8, 31, 13, 54, 7);datetime.timedelta(days=1, seconds=27105);datetime.timedelta(days=1, seconds=81392);datetime.timedelta(days=3, seconds=22097);'closed'
154;3282;datetime.datetime(2020, 8, 30, 23, 17, 46);datetime.timedelta(seconds=8079);datetime.timedelta(days=9, seconds=80356);datetime.timedelta(days=10, seconds=2035);'closed'
155;3281;datetime.datetime(2020, 8, 29, 17, 19, 51);datetime.timedelta(days=2, seconds=1494);datetime.timedelta(days=3, seconds=79119);datetime.timedelta(days=5, seconds=80613);'closed'
156;3280;datetime.datetime(2020, 8, 28, 21, 1, 53);datetime.timedelta(days=20, seconds=62681);datetime.timedelta(days=7, seconds=3859);datetime.timedelta(days=27, seconds=66540);'closed'
157;3279;datetime.datetime(2020, 8, 28, 17, 53, 53);datetime.timedelta(seconds=708);None;datetime.timedelta(seconds=708);'closed'
